iter	Passed	Remaining
571	77292	192959
572	77425	192820
573	77556	192675
574	77631	192392
575	77766	192256
576	77904	192127
577	78040	191996
578	78176	191862
579	78297	191693
580	78436	191568
581	78567	191422
582	78700	191283
583	78834	191147
584	78963	190996
585	79096	190857
586	79234	190728
587	79369	190595
588	79506	190463
589	79640	190326
590	79767	190173
591	79904	190042
592	80045	189922
593	80179	189786
594	80316	189654
595	80450	189518
596	80579	189368
597	80713	189231
598	80851	189103
599	80994	188988
600	81126	188845
601	81297	188792
602	81436	188667
603	81573	188537
604	81715	188417
605	81853	188289
606	81986	188149
607	82122	188017
608	82255	187877
609	82400	187764
610	82470	187482
611	82606	187350
612	82741	187214
613	82870	187065
614	83007	186935
615	83076	186652
616	83208	186511
617	83356	186406
618	83491	186271
619	83628	186141
620	83765	186011
621	83906	185888
622	84040	185752
623	84172	185611
624	84304	185470
625	84438	185332
626	84570	185192
627	84699	185044
628	84828	184896
629	84964	184763
630	85098	184627
631	85232	184491
632	85373	184369
633	85508	184234
634	85647	184109
635	85782	183972
636	85922	183849
637	86063	183727
638	86188	183572
639	86329	183450
640	86464	183316
641	86596	183175
642	86731	183038
643	86862	182896
644	87019	182807
645	87156	182677
646	87292	182545
647	87426	182408
648	87560	182270
649	87695	182136
650	87834	182009
651	87969	181874
652	88099	181731
653	88233	181594
654	88363	181447
655	88498	181314
656	88635	181182
657	88763	181033
658	88898	180898
659	89037	180772
660	89171	180635
661	89292	180473
662	89424	180332
663	89558	180195
664	89694	180062
665	89819	179909
666	89944	179753
667	90076	179613
668	90199	179455
669	90335	179322
670	90464	179176
671	90597	179038
672	90736	178911
673	90872	178779
674	91002	178633
675	91136	178497
676	91271	178363
677	91410	178237
678	91544	178100
679	91682	177972
680	91816	177834
681	91956	177711
682	92099	177591
683	92235	177458
684	92379	177340
685	92492	177164
686	92634	177043
687	92772	176915
688	92911	176788
689	93070	176699
690	93200	176555
691	93329	176409
692	93466	176277
693	93602	176144
694	93746	176027
695	93916	175958
696	94054	175828
697	94199	175714
698	94305	175523
699	94443	175395
700	94586	175274
701	94730	175157
702	94864	175020
703	95004	174895
704	95143	174766
705	95283	174641
706	95425	174518
707	95564	174391
708	95698	174254
709	95832	174117
710	95966	173982
711	96099	173843
712	96237	173713
713	96363	173562
714	96498	173427
715	96636	173297
716	96775	173169
717	96915	173044
718	97059	172925
719	97204	172808
720	97346	172685
721	97482	172552
722	97618	172418
723	97755	172288
724	97888	172148
725	98029	172023
726	98166	171893
727	98273	171707
728	98397	171554
729	98540	171433
730	98673	171295
731	98802	171149
732	98939	171018
733	99073	170882
734	99211	170751
735	99344	170613
736	99495	170506
737	99630	170371
738	99759	170226
739	99873	170054
740	100008	169919
741	100144	169787
742	100283	169658
743	100408	169506
744	100529	169348
745	100663	169211
746	100797	169075
747	100930	168937
748	101066	168804
749	101196	168660
750	101330	168524
751	101467	168392
752	101601	168257
753	101747	168139
754	101882	168005
755	102021	167877
756	102160	167747
757	102298	167617
758	102426	167472
759	102560	167334
760	102691	167194
761	102826	167059
762	102959	166921
763	103094	166787
764	103230	166652
765	103363	166514
766	103497	166378
767	103621	166226
768	103759	166095
769	103894	165961
770	104029	165826
771	104168	165697
772	104303	165563
773	104440	165432
774	104578	165301
775	104713	165167
776	104851	165037
777	104976	164886
778	105104	164740
779	105246	164616
780	105382	164482
781	105517	164348
782	105677	164252
783	105821	164130
784	105951	163988
785	106086	163853
786	106226	163726
787	106370	163605
788	106504	163469
789	106641	163336
790	106768	163190
791	106901	163051
792	107036	162917
793	107173	162784
794	107315	162660
795	107448	162522
796	107584	162389
797	107708	162238
798	107842	162101
799	107985	161977
800	108123	161847
801	108249	161699
802	108372	161546
803	108513	161420
804	108648	161285
805	108783	161150
806	108917	161014
807	109052	160879
808	109191	160749
809	109327	160617
810	109466	160487
811	109604	160357
812	109740	160223
813	109879	160095
814	110017	159964
815	110154	159831
816	110291	159700
817	110430	159571
818	110558	159424
819	110697	159296
820	110830	159158
821	110966	159025
822	111111	158904
823	111254	158781
824	111403	158665
825	111491	158464
826	111619	158319
827	111752	158180
828	111880	158035
829	112015	157900
830	112149	157765
831	112276	157618
832	112410	157482
833	112549	157352
834	112681	157214
835	112818	157081
836	112956	156951
837	113092	156818
838	113227	156682
839	113360	156545
840	113493	156408
841	113626	156270
842	113761	156135
843	113893	155996
844	114020	155850
845	114148	155706
846	114284	155572
847	114419	155438
848	114556	155305
849	114696	155178
850	114833	155045
851	114973	154917
852	115111	154786
853	115250	154657
854	115382	154518
855	115516	154382
856	115652	154247
857	115788	154114
858	115926	153983
859	116064	153853
860	116199	153718
861	116335	153584
862	116458	153434
863	116595	153301
864	116732	153169
865	116866	153033
866	116998	152893
867	117133	152759
868	117275	152634
869	117403	152490
870	117538	152354
871	117674	152220
872	117832	152115
873	117966	151979
874	118105	151850
875	118240	151715
876	118377	151582
877	118511	151446
878	118647	151312
879	118784	151180
880	118919	151044
881	119048	150902
882	119186	150771
883	119322	150637
884	119446	150489
885	119580	150352
886	119712	150214
887	119849	150081
888	119984	149947
889	120117	149809
890	120205	149615
891	120337	149477
892	120475	149346
893	120618	149221
894	120749	149081
895	120880	148941
896	121014	148805
897	121155	148678
898	121297	148551
899	121432	148417
900	121567	148282
901	121704	148150
902	121856	148035
903	121992	147901
904	122118	147756
905	122253	147621
906	122386	147484
907	122517	147344
908	122651	147208
909	122789	147077
910	122932	146952
911	123068	146818
912	123203	146683
913	123341	146552
914	123481	146423
915	123616	146288
916	123750	146152
917	123887	146019
918	124019	145881
919	124154	145746
920	124313	145639
921	124452	145509
922	124586	145373
923	124733	145252
924	124854	145101
925	124986	144962
926	125122	144829
927	125260	144697
928	125381	144546
929	125510	144404
930	125637	144260
931	125772	144125
932	125908	143992
933	126041	143854
934	126180	143724
935	126314	143587
936	126447	143450
937	126586	143320
938	126722	143187
939	126851	143045
940	126986	142910
941	127120	142774
942	127254	142638
943	127387	142501
944	127522	142366
945	127660	142234
946	127788	142092
947	127923	141957
948	128060	141824
949	128196	141690
950	128330	141554
951	128452	141405
952	128584	141267
953	128720	141134
954	128854	140997
955	128989	140863
956	129122	140725
957	129257	140591
958	129393	140457
959	129530	140324
960	129665	140189
961	129802	140057
962	129939	139924
963	130075	139790
964	130208	139654
965	130348	139524
966	130486	139392
967	130626	139263
968	130783	139151
969	130916	139013
970	131042	138870
971	131181	138739
972	131323	138611
973	131456	138475
974	131594	138342
975	131729	138208
976	131868	138076
977	132004	137943
978	132139	137808
979	132279	137678
980	132413	137542
981	132551	137410
982	132686	137276
983	132827	137147
984	132970	137020
985	133106	136885
986	133244	136754
987	133379	136619
988	133527	136497
989	133663	136363
990	133800	136230
991	133936	136097
992	134075	135965
993	134211	135832
994	134349	135699
995	134486	135566
996	134618	135428
997	134773	135313
998	134910	135181
999	135046	135046
1000	135185	134914
1001	135325	134785
1002	135465	134655
1003	135597	134517
1004	135732	134381
1005	135862	134241
1006	135996	134105
1007	136131	133970
1008	136260	133829
1009	136397	133696
1010	136558	133586
1011	136691	133450
1012	136830	133318
1013	136967	133185
1014	137102	133049
1015	137237	132914
1016	137369	132777
1017	137507	132644
1018	137642	132509
1019	137775	132372
1020	137904	132231
1021	138037	132094
1022	138176	131963
1023	138309	131826
1024	138443	131689
1025	138577	131553
1026	138713	131420
1027	138854	131290
1028	138994	131160
1029	139129	131024
1030	139267	130892
1031	139399	130754
1032	139536	130621
1033	139673	130487
1034	139812	130357
1035	139950	130224
1036	140089	130092
1037	140225	129958
1038	140361	129824
1039	140495	129688
1040	140625	129548
1041	140758	129411
1042	140893	129275
